date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:09:10	185/185	---M-Z	200	added ('OK')	text/plain	etag:%22d0a990e6347d91:0%22	https://www.heerekarlaw.com/robots.txt		(from )
08:09:10	82002/82002	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Jul%202024%2012:09:09%20GMT	https://www.heerekarlaw.com/	/Users/viktoriia.midor/websites/heerekarlaw/www.heerekarlaw.com/index.html	(from )
08:09:11	9804/9804	---M-Z	200	added ('OK')	application/javascript	etag:%22e9b250eade23da1:0%22	https://www.heerekarlaw.com/common/usc/p/video.js	/Users/viktoriia.midor/websites/heerekarlaw/www.heerekarlaw.com/common/usc/p/video.js	(from https://www.heerekarlaw.com/)
08:09:12	50624/50624	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Jul%202024%2012:09:10%20GMT	https://www.heerekarlaw.com/cms/	/Users/viktoriia.midor/websites/heerekarlaw/www.heerekarlaw.com/cms/index.html	(from https://www.heerekarlaw.com/)
08:09:12	50624/50624	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Jul%202024%2012:09:10%20GMT	https://www.heerekarlaw.com/common/	/Users/viktoriia.midor/websites/heerekarlaw/www.heerekarlaw.com/common/index.html	(from https://www.heerekarlaw.com/)
08:09:12	50624/50624	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Jul%202024%2012:09:10%20GMT	https://www.heerekarlaw.com/common/usc/js/	/Users/viktoriia.midor/websites/heerekarlaw/www.heerekarlaw.com/common/usc/js/index.html	(from https://www.heerekarlaw.com/)
08:09:12	3222/3222	---M-Z	200	added ('OK')	image/svg+xml	etag:%221dacc13a9703900%22	https://www.heerekarlaw.com/cms/svg/site/zr4cl296wmv.36.2405141403089.svg	/Users/viktoriia.midor/websites/heerekarlaw/www.heerekarlaw.com/cms/svg/site/zr4cl296wmv.36.2405141403089.svg	(from https://www.heerekarlaw.com/)
08:09:13	50624/50624	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Jul%202024%2012:09:13%20GMT	https://www.heerekarlaw.com/usc/	/Users/viktoriia.midor/websites/heerekarlaw/www.heerekarlaw.com/usc/index.html	(from https://www.heerekarlaw.com/)
08:09:13	50624/50624	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Jul%202024%2012:09:13%20GMT	https://www.heerekarlaw.com/admin/	/Users/viktoriia.midor/websites/heerekarlaw/www.heerekarlaw.com/admin/index.html	(from https://www.heerekarlaw.com/)
08:09:14	11060/11060	---M--	200	added ('OK')	image/png	etag:%22115129c1ceeed81:0%22	https://www.heerekarlaw.com/images/Logo.2211020821178.png	/Users/viktoriia.midor/websites/heerekarlaw/www.heerekarlaw.com/images/Logo.2211020821178.png	(from https://www.heerekarlaw.com/)
08:09:15	11604/11604	---M--	200	added ('OK')	image/png	etag:%22189b2bc1ceeed81:0%22	https://www.heerekarlaw.com/images/Logo2.2211020821178.png	/Users/viktoriia.midor/websites/heerekarlaw/www.heerekarlaw.com/images/Logo2.2211020821178.png	(from https://www.heerekarlaw.com/)
08:09:16	14816/14816	---M-Z	200	added ('OK')	image/svg+xml	etag:%221dacc1423082700%22	https://www.heerekarlaw.com/cms/svg/site/zr4cl296wmv.24.2405141403088.svg	/Users/viktoriia.midor/websites/heerekarlaw/www.heerekarlaw.com/cms/svg/site/zr4cl296wmv.24.2405141403088.svg	(from https://www.heerekarlaw.com/)
